previewURI	title	subtitle	ingredients	allergies	diets	categories
https://images.immediate.co.uk/production/volatile/sites/30/2020/08/meatballs-main-b401430.jpg?quality=90&webp=true&resize=440,400	Easy meatballs	BBC Good Food magazine's food editor Barney & his daughter Maisie love making these sausage and beef meatballs to serve on spaghetti with hidden vegetable tomato sauce	"[""pork sausage"", ""carrot"", ""dried oregano"", ""lean beef mince"", ""parmesan"", ""dried breadcrumb"", ""egg"", ""spaghetti""]"	"[""Eggs""]"	"[""Non-spicy""]"	"[""Lunch"", ""Dinner"", ""Pasta"", ""Meat""]"
https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-52267_11-6aba81b.jpg?quality=90&webp=true&resize=440,400	Easy beef hotpot	Stretch a pack of mince to make this hearty dish. It's perfect eaten straight from the bowl with a spoon and some crusty bread on a cold winter's night	"[""onions"", ""carrots"", ""potatoes"", ""lean minced beef"", ""beef stock cubes"", ""baked beans"", ""Worcestershire sauce""]"	[]	"[""Non-spicy"", ""Dairy free""]"	"[""Lunch"", ""Soup"", ""Meat""]]"
https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-901483_10-af0bd6b.jpg?quality=90&webp=true&resize=440,400	Unbelievably easy mince pies	No rolling required! Press the raw, crumbly pastry directly into your tin for a short, biscuity finish. Our easiest mince pie recipe and great fun to make with kids	"[""butter"", ""plain flour"", ""golden caster sugar"", ""mincemeat"", ""egg"", ""icing sugar""]"	"[""Eggs""]"	"[""Non-spicy""]"	"[""Lunch"", ""Dinner"", ""Breakfast"", ""Meat""]"
https://images.immediate.co.uk/production/volatile/sites/30/2020/08/frying-pan-pizza-b691022.jpg?quality=90&webp=true&resize=440,400	Frying pan pizza with aubergine, ricotta & mint	This recipe ensures a crispy-bottomed pizza without ever turning on the oven. It's easy, veggie and 2 of your 5-a-day	"[""white bread flour"", ""fast-action dried yeast"", ""passata"", ""aubergine"", ""ricotta"", ""mint""]"	"[""Wheat""]"	"[""Halal"", ""Kosher"", ""Vegetarian"", ""Non-spicy"", ""Pescetarian""]"	"[""Lunch"", ""Dinner"", ""Breakfast""]"
https://images.immediate.co.uk/production/volatile/sites/30/2020/08/millionaires-shortbread-52587dd.jpg?quality=90&webp=true&resize=440,400	Easy millionaire’s shortbread	Combine the crunch of a shortbread base with a gooey caramel middle and chocolate topping, and you have millionaire's shortbread – the ultimate sweet treat	"[""plain flour"", ""caster sugar"", ""butter"", ""margarine"", ""condensed milk"", ""milk chocolate""]"	"[""Wheat"", ""Milk""]"	"[""Halal"", ""Kosher"", ""Vegetarian"", ""Non-spicy"", ""Pescetarian""]"	"[""Lunch"", ""Dinner"", ""Breakfast"", ""Dessert""]"
https://images.immediate.co.uk/production/volatile/sites/30/2020/08/easy-huevos-rancheros-38e94de.jpg?quality=90&webp=true&resize=440,400	Easy huevos rancheros	An easy Mexican breakfast that'll keep you going all morning, it's got everything you need to pep up your plate	"[""vegetable oil"", ""tortilla wrap"", ""egg"", ""black beans"", ""lime"", ""ripe avocado"", ""feta"", ""hot chilli sauce""]"	"[""Wheat"", ""Eggs""]"	"[""Halal"", ""Kosher"", ""Vegetarian"", ""Pescetarian"", ""Non-spicy""]"	"[""Breakfast""]"
https://images.immediate.co.uk/production/volatile/sites/30/2020/08/veggie-chilli-4a57c04.jpg?quality=90&webp=true&resize=440,400	Vegetarian chilli	The easiest chilli you'll ever make, with ready-to-eat grains, kidney beans in chilli sauce and summer veggies - it's 4 of your 5-a-day too!	"[""oven-roasted vegetables"", ""kidney beans in chilli sauce"", ""chopped tomatoes"", ""ready-to-eat mixed grain pouch""]"	[]	"[""Halal"", ""Kosher"", ""Vegetarian"", ""Pescetarian"", ""Vegan"", ""Gluten free"", ""Dairy free"", ""Sugar free""]"	"[""Lunch"", ""Dinner"", ""Breakfast""]"
https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-908547_11-e97e641.jpg?quality=90&webp=true&resize=440,400	Easy treacle sponge	A simple baked version of this classic childhood pudding, with a zesty treacle sauce forming an irresistible puddle at the bottom	"[""golden syrup"", ""lemon"", ""breadcrumb"", ""butter"", ""golden caster sugar"", ""eggs"", ""self-raising flour"", ""milk""]"	"[""Wheat"", ""Eggs"", ""Milk""]"	"[""Halal"", ""Kosher"", ""Vegetarian"", ""Pescetarian"", ""Non-spicy""]"	"[""Lunch"", ""Dinner"", ""Breakfast"", ""Dessert""]"
https://images.immediate.co.uk/production/volatile/sites/30/2020/08/easy-rocky-road-13bd3fb.jpg?quality=90&webp=true&resize=440,400	Easy rocky road	Great for a bake sale, a gift, or simply an afternoon treat to enjoy with a cuppa, this rocky road is quick to make and uses mainly storecupboard ingredients.	"[""digestive biscuits"", ""margarine"", ""dark chocolate"", ""golden syrup"", ""mini marshmallows"", ""nuts""]"	"[""Eggs"", ""Milk"", ""Tree Nuts""]"	"[""Halal"", ""Kosher"", ""Vegetarian"", ""Pescetarian"", ""Non-spicy""] "	"[""Lunch"", ""Dinner"", ""Breakfast"", ""Dessert""]"
https://images.immediate.co.uk/production/volatile/sites/30/2020/08/easy-chocolate-molten-cakes-37a25eb.jpg?quality=90&webp=true&resize=440,400	Easy chocolate molten cakes	Bake an impressive dinner party dessert with minimum fuss – these chocolate puddings, also known as chocolate fondant or lava cake, have a lovely gooey centre	"[""butter"", ""dark chocolate"", ""light brown soft sugar"", ""large eggs"", ""vanilla extract"", ""plain flour"", ""cream""]"	"[""Eggs"", ""Milk"", ""Wheat""]"	"[""Halal"", ""Kosher"", ""Vegetarian"", ""Pescetarian"", ""Non-spicy""] "	"[""Lunch"", ""Dinner"", ""Breakfast"", ""Dessert""]"
https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-52383_11-427dca7.jpg?quality=90&webp=true&resize=440,400	Easy chicken tagine	Simple one-pots are perfect for the busy cook. This chicken tagine is great eaten with cous cous for something a bit more filling	"[""chicken thighs"", ""onion"", ""grated fresh root ginger"", ""tumeric"", ""parsley"", ""lemon""]"	[]	"[""Kosher"", ""Halal"", ""Non-spicy"", ""Gluten free"", ""Dairy free"", ""Keto""]"	"[""Lunch"", ""Dinner""]"
https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-256465_11-3b0bda1.jpg?quality=90&webp=true&resize=440,400	Easy chicken kiev	Homemade chicken kievs don't have to mean hours in the kitchen. Just add spuds and salad before serving	"[""garlic cloves"", ""flat-leaf parsley"", ""breadcrumbs"", ""chicken breasts"", ""bsp garlic & herb soft cheese"", ""olive oil""]"	"[""Milk"", ""Wheat""]"	"[""Kosher"", ""Halal"", ""Non-spicy"", ""Sugar free""]"	"[""Lunch"", ""Dinner""]"
https://images.immediate.co.uk/production/volatile/sites/30/2020/08/ultimate-chorizo-ciabatta-c3f006e.jpg?quality=90&webp=true&resize=440,400	Ultimate chorizo ciabatta	Crusty ciabatta, spicy chorizo, a generous dollop of pesto and sweet roasted peppers make a moreish combination. Serve warm for a quick supper you'll really enjoy	"[""ciabatta"", ""chorizo"", ""pesto"", ""roasted red peppers"", ""rocket""]"	"[""Wheat""]"	"[""Kosher"", ""Halal"", ""Non-spicy"", ""Pescetarian"", ""Vegetarian"", ""Vegan""]"	"[""Dinner"", ""Breakfast""]"
https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1010491_10-0d165c5.jpg?quality=90&webp=true&resize=440,400	Easy vegan burgers	Make vegan burgers with polenta and spice with cumin, chilli and coriander. Cook in the oven or on the barbecue and serve with a plant-based salsa	"[""sweet potatoes"", ""oil"", ""red onions"", ""red chillies"", ""cumin"", ""coriander"", ""sweetcorn"", ""polenta""]"	[]	"[""Kosher"", ""Halal"", ""Pescetarian"", ""Vegetarian"", ""Vegan"", ""Dairy free""]"	"[""Dinner"", ""Breakfast""]"
https://images.immediate.co.uk/production/volatile/sites/30/2020/08/easy_choc_biscuits-59ca9be.jpg?quality=90&webp=true&resize=440,400	Easy chocolate biscuits	Try this basic recipe for fail-safe biscuits every time. Make a batch of chocolate chip cookies, or adapt it to include nuts, fruit or your favourite sweets	"[""butter"", ""brown sugar"", ""eggs"", ""self-raising flour"", ""cocoa powder""]"	"[""Milk"", ""Wheat"", ""Eggs""]"	"[""Kosher"", ""Halal"", ""Pescetarian"", ""Vegetarian"", ""Non-spicy""]"	"[""Lunch"", ""Dinner"", ""Breakfast"", ""Dessert""]"
https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1259495_9-59c201e.jpg?quality=90&webp=true&resize=440,400	Easy sweet & sour chicken	Ditch the takeaway and make our simple sweet and sour chicken recipe. This speedy Chinese-style rice dish is ready in under 30 minutes and packed with zingy flavours	"[""tomato ketchup"", ""malt vinegar"", ""dark muscovado sugar"", ""garlic cloves"", ""chicken breast"", ""small onion"", ""red peppers"", ""pineapple pieces""]"	[]	"[""Kosher"", ""Halal"", ""Non-spicy"", ""Paleo""]"	"[""Lunch"", ""Dinner""]"
https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-363907_12-20473e7.jpg?quality=90&webp=true&resize=440,400	Easy chocolate cupcakes	These light cakes are perfect for freezing – they just need a quick blast in the microwave to bring them back to life	"[""dark chocolate"", ""self-raising flour"", ""cocoa"", ""sunflower oil"", ""sour cream"", ""eggs"", ""vanilla extract""]"	"[""Wheat"", ""Eggs""]"	"[""Kosher"", ""Halal"", ""Pescetarian"", ""Vegetarian"", ""Non-spicy""]"	"[""Lunch"", ""Dinner"", ""Breakfast"", ""Dessert""]"
https://images.immediate.co.uk/production/volatile/sites/30/2020/08/asian-prawn-quinoa-salad-4609845.jpg?quality=90&webp=true&resize=440,400	Asian prawn & quinoa salad	This fresh salad is 3 of your 5-a-day. With zingy lime and a hit of chilli heat, it's also a great introduction to quinoa if you haven't tried it before	"[""quinoa"", ""prawns"", ""avocado"", ""cucumber"", ""watercress"", ""cherry tomatoes"", ""red chilli""]"	"[""Shellfish"", ""Fish""]"	"[""Kosher"", ""Halal"", ""Pescetarian"", ""Vegetarian"", ""Dairy free"", ""Gluten free""]"	"[""Lunch"", ""Dinner"", ""Salad""]"
https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-219569_11-766d6d3.jpg?quality=90&webp=true&resize=440,400	Quick & easy hot-and-sour chicken noodle soup	Keep tasting the broth and add as much chilli and rice vinegar as you like to get the right balance of flavours	"[""dried wholewheat noodle"", ""groundnut oil"", ""grated ginger"", ""red chilli"", ""chicken thighs"", ""Shaohsing rice wine"", ""vegetable stock"", ""chestnut mushrooms"", ""dark soy sauce""]"	"[""Wheat""]"	"[""Kosher"", ""Halal"", ""Dairy free"", ""Vegetarian"", ""Vegan""]"	"[""Lunch"", ""Soup"", ""Noodles""]"
https://images.immediate.co.uk/production/volatile/sites/30/2020/08/easy-bread-7455dce.jpg?quality=90&webp=true&resize=440,400	Easy white bread	A great recipe for an electric breadmaker – or do it the traditional way	"[""strong white flour"", ""salt"", ""sachet fast-action yeast"", ""olive oil"", ""water""]"	"[""Wheat""]"	"[""Kosher"", ""Halal"", ""Dairy free"", ""Pescetarian"", ""Non-spicy""]"	"[""Lunch"", ""Dinner"", ""Breakfast""]"
https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-231460_10-81626ab.jpg?quality=90&webp=true&resize=440,400	Easy cheesy frittata	This simple lunch dish is a great way of getting children aged 5-9 involved in the kitchen	"[""spring onions"", ""frozen peas"", ""courgette"", ""slices of ham"", ""feta cheese"", ""eggs""]"	"[""Eggs"", ""Milk""]"	"[""Non-spicy"", ""Gluten free""]"	"[""Breakfast""]"
https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-195570_11-163bb59.jpg?quality=90&webp=true&resize=440,400	Easy lentil curry	Our fast, cheap and healthy vegetarian lentil curry, is comforting and full of flavour. It's also low in fat and freezable for speedy midweek meals.	"[""sunflower oil"", ""medium onions"", ""curry paste"", ""vegetable stock"", ""stewpack frozen vegetables"", ""red lentil"", ""basmati rice"", ""turmeric""]"	[]	"[""Halal"", ""Dairy free"", ""Pescetarian"", ""Gluten free"", ""Vegan"", ""Vegetarian"", ""Kosher""]"	"[""Lunch"", ""Dinner"", ""Curry"", ""Rice""]"
https://images.immediate.co.uk/production/volatile/sites/30/2020/08/clangers-soup--ec22471.jpg?quality=90&webp=true&resize=440,400	Easy green vegetable soup	Cook a bowlful of goodness inspired by the most famous soup connoisseur in the galaxy, the Soup Dragon, from the hit children's show Clangers	"[""spring onions"", ""potato"", ""garlic clove"", ""vegetable stock"", ""frozen peas"", ""fresh spinach"", ""natural yogurt""]"	[]	"[""Halal"", ""Non-spicy"", ""Pescetarian"", ""Gluten free"", ""Vegan"", ""Vegetarian"", ""Kosher""]"	"[""Lunch"", ""Soup""]"
https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-281665_12-a429fa2.jpg?quality=90&webp=true&resize=440,400	Easy veggie biryani	This tasty Indian-inspired dish is faster than a takeaway	"[""basmati rice"", ""mixed frozen vegetables"", ""raisins"", ""vegetable stock cube"", ""korma curry paste"", ""roasted salted cashew nuts""]"	"[""Tree Nuts""]"	"[""Halal"", ""Non-spicy"", ""Pescetarian"", ""Gluten free"", ""Dairy free"", ""Vegan"", ""Vegetarian"", ""Kosher""]"	"[""Lunch"", ""Dinner"", ""Curry"", ""Rice""]"
https://images.immediate.co.uk/production/volatile/sites/30/2020/08/steak-panzanella-salad-with-roasted-lemons-b3b13ef.jpg?quality=90&webp=true&resize=440,400	Bavette with sharp, sweet roasted lemons and crisp, spiced pitta bread makes a hearty meal that will satisfy even salad-phobics	Steak panzanella salad with roasted lemons	"[""unwaxed lemon"", ""olive oil"", ""za'atar"", ""pitta breads"", ""bavette steak"", ""tomatoes"", ""feta"", ""cucumber"", ""Kalamata olives"", ""mint""]"	"[""Wheat""]"	"[""Non-spicy""]"	"[""Lunch"", ""Meat"", ""Dinner""]"
https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-285552_11-0bcbfe0.jpg?quality=90&webp=true&resize=440,400	Easy strawberry ice cream	Children aged 3-6 can enjoy getting stuck in to making and eating this summery treat. Add your own toppings for extra fun	"[""strawberries"", ""mascarpone"", ""condensed milk"", ""sprinkles"", ""cones""]"	"[""Milk"", ""Wheat""]"	"[""Halal"", ""Non-spicy"", ""Pescetarian"", ""Vegetarian"", ""Kosher""]"	"[""Lunch"", ""Dinner"", ""Breakfast"", ""Dessert""]"
https://images.immediate.co.uk/production/volatile/sites/30/2020/08/easy-meatloaf-a57237c.jpg?quality=90&webp=true&resize=440,400	Easy meatloaf with spaghetti & tomato sauce	Two classics combined, meatloaf flavoured with sage and feta plus pasta and tomato sauce - guaranteed to please	"[""olive oil"", ""onions"", ""pork mince"", ""eggs"", ""fresh breadcrumbs"", ""sage leaves"", ""feta"", ""bay leaves""]"	"[""Eggs"", ""Wheat""]"	"[""Non-spicy""]"	"[""Lunch"", ""Dinner"", ""Meat""]"
https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-320528_12-15710eb.jpg?quality=90&webp=true&resize=440,400	Easy gooseberry cobbler	This low-fat and satisfying cobbler is the perfect way to end a roast lunch with friends in summer	"[""gooseberries"", ""caster sugar"", ""grated root ginger"", ""elderflower cordial"", ""plain flour"", ""baking powder"", ""butter"", ""buttermilk""]"	"[""Wheat"", ""Milk""]"	"[""Vegetarian"", ""Kosher"", ""Halal"", ""Non-spicy"", ""Pescetarian""]"	"[""Lunch"", ""Breakfast"", ""Dessert""]"
https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-424794_12-3730781.jpg?quality=90&webp=true&resize=440,400	Easy tomato pizzas	These colourful, flavour-packed pizzas are low-fat and delicious too	"[""white bread flour"", ""sachet fast-action yeast"", ""extra-virgin olive oil"", ""water"", ""tomatoes"", ""toppings""]"	"[""Wheat"", ""Milk""]"	"[""Vegetarian"", ""Kosher"", ""Halal"", ""Non-spicy"", ""Pescetarian""]"	"[""Lunch"", ""Dinner"", ""Breakfast""]"
https://images.immediate.co.uk/production/volatile/sites/30/2020/08/chocolate-avocado-cake-51c276b.jpg?quality=90&webp=true&resize=440,400	Easy vegan chocolate cake	This indulgent, fudgy vegan bake is topped with a rich frosting – you'd never guess that it's free from dairy, eggs, wheat and nuts	"[""Dairy free sunflower spread"", ""avocado"", ""light muscovado sugar"", ""gluten-free plain flour"", ""cocoa powder"", ""gluten-free baking powder"", ""unsweetened soya milk"", ""Dairy free chocolate"", ""unsweetened soya milk""]"	"[""Soy""]"	"[""Gluten free"", ""Dairy free"", ""Vegan"", ""Vegetarian"", ""Kosher"", ""Halal"", ""Non-spicy"", ""Pescetarian""]"	"[""Lunch"", ""Breakfast"", ""Dessert""]"
https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-327939_12-7d9a10f.jpg?quality=90&webp=true&resize=440,400	Easy oven frittata	Sure to become a firm family favourite, this dish is packed with peas, sweetcorn and peppers - it'll help you get your 5-a-day	"[""olive oil"", ""macaroni"", ""bunch spring onions"", ""sweetcorn"", ""frozen peas"", ""red pepper"", ""eggs"", ""semi-skimmed milk"", ""thyme leaves"", ""extra mature vegetarian chedder""]"	"[""Eggs"", ""Milk""]"	"[""Vegetarian"", ""Kosher"", ""Halal"", ""Non-spicy"", ""Pescetarian""]"	"[""Lunch"", ""Pasta"", ""Dinner""]"
https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-52552_11-2b1201c.jpg?quality=90&webp=true&resize=440,400	Salmon & dill fish cakes in 4 easy steps	Everybody loves fish cakes, and even the complete beginner can master these mouthwatering morsels	"[""salmon fillet"", ""bay leaves"", ""milk"", ""Maris Piper potato"", ""lemon"", ""mayonnaise"", ""Dijon mustard"", ""caper"", ""flour"", ""egg"", ""breadcrumbs""]"	"[""Fish"", ""Shellfish"", ""Milk"", ""Eggs"", ""Wheat""]"	"[""Pescetarian"", ""Non-spicy"", ""Vegetarian"", ""Kosher"", ""Halal""]"	"[""Lunch"", ""Dinner"", ""Seafood""]"
https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1259724_8-317b7ef.jpg?quality=90&webp=true&resize=440,400	Quiche Lorraine in 4 easy steps	Intimidated by quiche and all that pastry making? Try this beginners guide and you'll be surprised how simple it can be	"[""flour"", ""ready-to-roll shortcrust pastry"", ""smoked streaky bacon"", ""medium cheddar"", ""eggs"", ""double cream"", ""nutmeg""]"	"[""Wheat"", ""Eggs""]"	"[""Non-spicy""]"	"[""Lunch"", ""Breakfast""]"
https://images.immediate.co.uk/production/volatile/sites/30/2020/08/chickpea-curry-fa1cb5a.jpg?quality=90&webp=true&resize=440,400	Chickpea & roasted parsnip curry	Parsnips work so well in this wintry vegan curry, adding flavour and texture. Serve with naans to soak up the lovely sauce	"[""parsnips"", ""vegetable oil"", ""cumin seeds"", ""onion"", ""bunch coriander"", ""curry paste"", ""chickpeas"", ""coconut milk"", ""limes"", ""yogurt""]"	"[""Milk""]"	"[""Gluten free""]"	"[""Lunch"", ""Dinner"", ""Curry"", ""Rice""]"
https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-4791_11-c807c25.jpg?quality=90&webp=true&resize=440,400	Easy spiced salmon kedgeree	Smoked salmon adds a new twist to this kedgeree - it's perfect for Saturday brunch	"[""basmati rice"", ""unsalted butter"", ""olive oil"", ""hot curry paste"", ""red onion"", ""smoked salmon"", ""eggs"",""fresh coriander""]"	"[""Fish"", ""Shellfish"", ""Eggs""]"	"[""Dairy free"", ""Gluten free"", ""Pescetarian"", ""Non-spicy"", ""Vegetarian"", ""Kosher"", ""Halal""]"	"[""Lunch"", ""Dinner"", ""Seafood"", ""Rice""]"
https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-10114_10-b52a8f1.jpg?quality=90&webp=true&resize=440,400	Really easy beefburgers	Perfect for getting the kids cooking, these burgers are fun to make, freeze well and are super tasty too	"[""lean minced beef"", ""mild chilli powder"", ""mild cheddar"", ""burger buns"", ""lettuce"", ""ketchup""]"	"[""Wheat""]"	"[""Dairy free"", ""Sugar free""]"	"[""Lunch"", ""Dinner"", ""Meat""]"
https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-4274_11-96cd839.jpg?quality=90&webp=true&resize=440,400	Easy Italian bean salad	A quick and easy summery salad - ideal for serving with a barbecue spread	"[""onions"", ""garlic cloves"", ""red chilli"", ""cannellini beans"", ""butter beans"", ""olive oil"", ""white wine vinegar""]"	[]	"[""Pescetarian"", ""Non-spicy"", ""Vegetarian"", ""Vegan"", ""Kosher"", ""Halal"", ""Dairy free"", ""Gluten free""]"	"[""Lunch"", ""Dinner"", ""Breakfast""]"
https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1574_11-4bbb1d4.jpg?quality=90&webp=true&resize=440,400	Easy noodles	This simple version of a Malaysian classic is microwaved in a single bowl - an easy supper for 4	"[""chicken stock"", ""coconut milk"", ""red Thai curry paste"", ""turmeric"", ""chicken breast fillets"", ""rice noodles"", ""stir-fry mix""]"	"[""Wheat""]"	"[""Kosher"", ""Halal"", ""Dairy free""]"	"[""Lunch"", ""Dinner"", ""Breakfast"", ""Noodles""]"
https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-337457_12-8107153.jpg?quality=90&webp=true&resize=440,400	One-pot chicken chasseur	This French bistro classic is easy to make at home and fabulous with creamy mash or crusty bread	"[""olive oil"", ""butter"", ""chicken legs"", ""onion"", ""garlic cloves"", ""chestnut mushrooms"", ""red wine"", ""tomato purée"", ""chicken stock""]"	[]	"[""Paleo"", ""Dairy free"", ""Kosher"", ""Halal"", ""Dairy free"", ""Gluten free""]"	"[""Lunch"", ""Dinner""]"
